name,fragment,score,label
musk-to-ryan.wav,0,-2.6106507778167725,0
musk-to-ryan.wav,1,-1.986423134803772,0
musk-to-ryan.wav,2,-2.9792239665985107,0
musk-to-ryan.wav,3,-1.1057913303375244,0
musk-to-ryan.wav,4,-1.8925776481628418,0
musk-to-ryan.wav,5,-1.5811480283737183,0
musk-to-ryan.wav,6,-1.225122332572937,0
musk-to-ryan.wav,7,-1.9909261465072632,0
musk-to-ryan.wav,8,-3.5247983932495117,0
musk-to-ryan.wav,9,-2.358971357345581,0
obama-to-ryan.wav,0,0.5278037786483765,1
obama-to-ryan.wav,1,-2.38826584815979,0
obama-to-ryan.wav,2,-2.079418420791626,0
obama-to-ryan.wav,3,-2.803297281265259,0
obama-to-ryan.wav,4,-3.410194158554077,0
obama-to-ryan.wav,5,-1.3768037557601929,0
obama-to-ryan.wav,6,-2.572253465652466,0
obama-to-ryan.wav,7,-2.0119287967681885,0
obama-to-ryan.wav,8,-1.3333224058151245,0
obama-to-ryan.wav,9,-4.702596187591553,0
obama-to-taylor.wav,0,-1.3876829147338867,0
obama-to-taylor.wav,1,-4.36371374130249,0
obama-to-taylor.wav,2,-3.2620656490325928,0
obama-to-taylor.wav,3,-5.227695941925049,0
obama-to-taylor.wav,4,-4.135522842407227,0
obama-to-taylor.wav,5,-2.9942996501922607,0
obama-to-taylor.wav,6,-3.4968554973602295,0
obama-to-taylor.wav,7,-4.076472759246826,0
obama-to-taylor.wav,8,-3.0153415203094482,0
obama-to-taylor.wav,9,-5.022525787353516,0
ryan-to-taylor.wav,0,-3.5759661197662354,0
ryan-to-taylor.wav,1,-2.7728848457336426,0
ryan-to-taylor.wav,2,-4.944728374481201,0
ryan-to-taylor.wav,3,-2.4969494342803955,0
ryan-to-taylor.wav,4,-2.253265142440796,0
ryan-to-taylor.wav,5,-6.053582191467285,0
ryan-to-taylor.wav,6,-5.434754371643066,0
ryan-to-taylor.wav,7,-4.88231897354126,0
ryan-to-taylor.wav,8,-3.0681378841400146,0
ryan-to-taylor.wav,9,-4.672577381134033,0
ryan-to-trump.wav,0,-2.766590118408203,0
ryan-to-trump.wav,1,-1.6279312372207642,0
ryan-to-trump.wav,2,-2.5713841915130615,0
ryan-to-trump.wav,3,-2.4782912731170654,0
ryan-to-trump.wav,4,-1.19615638256073,0
ryan-to-trump.wav,5,-4.114307880401611,0
ryan-to-trump.wav,6,-1.483155369758606,0
ryan-to-trump.wav,7,-1.7194929122924805,0
ryan-to-trump.wav,8,-2.9888534545898438,0
ryan-to-trump.wav,9,-2.5938305854797363,0
taylor-to-biden.wav,0,-3.329559564590454,0
taylor-to-biden.wav,1,-3.535667657852173,0
taylor-to-biden.wav,2,-3.6061742305755615,0
taylor-to-biden.wav,3,-3.4921822547912598,0
taylor-to-biden.wav,4,-3.8422634601593018,0
taylor-to-biden.wav,5,-2.450587034225464,0
taylor-to-biden.wav,6,-2.694387674331665,0
taylor-to-biden.wav,7,-1.245593786239624,0
taylor-to-biden.wav,8,-3.373241662979126,0
taylor-to-biden.wav,9,-2.9765233993530273,0
taylor-to-trump.wav,0,-2.4899017810821533,0
taylor-to-trump.wav,1,-3.82488751411438,0
taylor-to-trump.wav,2,-2.5019848346710205,0
taylor-to-trump.wav,3,-3.142239809036255,0
taylor-to-trump.wav,4,-3.519975185394287,0
taylor-to-trump.wav,5,-2.2498176097869873,0
taylor-to-trump.wav,6,-3.024278163909912,0
taylor-to-trump.wav,7,-1.5352789163589478,0
taylor-to-trump.wav,8,-2.1072206497192383,0
taylor-to-trump.wav,9,-3.7774078845977783,0
trump-to-Biden.wav,0,-2.365506410598755,0
trump-to-Biden.wav,1,-3.4672224521636963,0
trump-to-Biden.wav,2,-3.088735342025757,0
trump-to-Biden.wav,3,-1.4261720180511475,0
trump-to-Biden.wav,4,-2.8924055099487305,0
trump-to-Biden.wav,5,-2.9868385791778564,0
trump-to-Biden.wav,6,-2.349905252456665,0
trump-to-Biden.wav,7,-2.0618703365325928,0
trump-to-Biden.wav,8,-2.891284465789795,0
trump-to-Biden.wav,9,-2.452259063720703,0
trump-to-linus.wav,0,-2.984663248062134,0
trump-to-linus.wav,1,-4.264424800872803,0
trump-to-linus.wav,2,-4.970020771026611,0
trump-to-linus.wav,3,-3.0622544288635254,0
trump-to-linus.wav,4,-3.89751935005188,0
trump-to-linus.wav,5,-3.9958395957946777,0
trump-to-linus.wav,6,-3.985485792160034,0
trump-to-linus.wav,7,-4.906809329986572,0
trump-to-linus.wav,8,-3.978984832763672,0
trump-to-linus.wav,9,-3.37367582321167,0
