name,fragment,score,label
0.wav,0,-1.4601754,0
1.wav,0,0.36300582,1
1.wav,1,0.7465591,1
1.wav,2,-0.47969216,0
2.wav,0,0.27289048,1
2.wav,1,0.19323143,1
2.wav,2,-4.8110924,0
3.wav,0,-1.4481438,0
3.wav,1,-1.5509093,0
3.wav,2,-0.8317721,0
6.wav,0,1.1131331,1
6.wav,1,-2.379275,0
10.wav,0,-1.4726231,0
10.wav,1,-2.0538957,0
10.wav,2,-4.6670623,0
13.wav,0,-0.98148245,0
15.wav,0,-2.4978235,0
15.wav,1,-1.9581739,0
16.wav,0,-1.8296913,0
17.wav,0,-0.35895118,0
19.wav,0,-0.568356,0
19.wav,1,-1.205616,0
21.wav,0,1.0909488,1
21.wav,1,-0.43698925,0
24.wav,0,-0.92378294,0
25.wav,0,-0.0537475,0
25.wav,1,0.5339504,1
25.wav,2,-0.017735835,0
25.wav,3,-1.0543958,0
31.wav,0,-2.9569268,0
31.wav,1,-1.9201643,0
31.wav,2,-1.8010179,0
31.wav,3,-1.5928454,0
32.wav,0,-0.9950822,0
32.wav,1,-2.5825746,0
34.wav,0,-1.1553233,0
34.wav,1,-2.1530163,0
35.wav,0,-1.2066072,0
35.wav,1,-1.9362164,0
40.wav,0,-1.8111169,0
41.wav,0,-0.5994267,0
41.wav,1,-2.40805,0
42.wav,0,-0.5742184,0
43.wav,0,-0.6779127,0
47.wav,0,0.11082899,1
47.wav,1,-1.348766,0
50.wav,0,-0.3317896,0
57.wav,0,-2.1671455,0
59.wav,0,-0.6705644,0
59.wav,1,-1.2610103,0
59.wav,2,-2.6240816,0
60.wav,0,-0.47072566,0
61.wav,0,0.31734657,1
61.wav,1,-0.76949465,0
62.wav,0,-1.9283242,0
63.wav,0,-0.6527355,0
63.wav,1,-2.4743226,0
65.wav,0,-0.7295115,0
65.wav,1,-0.3790133,0
68.wav,0,-1.8529148,0
69.wav,0,-1.2620949,0
69.wav,1,-2.0492609,0
76.wav,0,-0.92471814,0
79.wav,0,-1.0754896,0
81.wav,0,-1.2977433,0
91.wav,0,-0.035630394,0
92.wav,0,-0.85042316,0
101.wav,0,-1.2783604,0
103.wav,0,-2.401908,0
103.wav,1,-2.082831,0
107.wav,0,-0.06229097,0
107.wav,1,-1.3756981,0
110.wav,0,-0.8716119,0
114.wav,0,-1.617391,0
116.wav,0,0.9599593,1
116.wav,1,-2.8518906,0
117.wav,0,-1.9810417,0
118.wav,0,-3.4300995,0
122.wav,0,-2.8817866,0
126.wav,0,-0.7878207,0
126.wav,1,-0.24803695,0
126.wav,2,0.45157635,1
127.wav,0,1.6813748,1
127.wav,1,-1.248152,0
128.wav,0,-0.026854306,0
128.wav,1,-2.6163597,0
132.wav,0,1.3146862,1
135.wav,0,-2.2099516,0
136.wav,0,0.5954243,1
136.wav,1,0.58294576,1
138.wav,0,-0.2651201,0
138.wav,1,0.7964708,1
138.wav,2,0.071318015,1
138.wav,3,-0.020853646,0
138.wav,4,-0.053798016,0
138.wav,5,-0.60671437,0
139.wav,0,-1.83642,0
139.wav,1,-2.217016,0
139.wav,2,-4.637759,0
144.wav,0,-1.1534785,0
146.wav,0,-1.3758652,0
148.wav,0,-2.5936666,0
150.wav,0,-0.22176912,0
153.wav,0,-1.9856414,0
155.wav,0,0.6416798,1
155.wav,1,2.6544616,1
159.wav,0,-1.7106323,0
159.wav,1,-2.5843976,0
163.wav,0,-1.1865088,0
165.wav,0,0.6231746,1
165.wav,1,1.2283269,1
165.wav,2,-2.8582265,0
170.wav,0,-3.0125399,0
172.wav,0,-1.0165415,0
172.wav,1,-2.0365038,0
174.wav,0,-0.7229927,0
174.wav,1,-1.2409021,0
174.wav,2,-1.2052616,0
174.wav,3,-2.0249674,0
175.wav,0,-1.8398867,0
179.wav,0,-1.9384515,0
179.wav,1,-1.6206284,0
182.wav,0,0.8576004,1
182.wav,1,0.7967701,1
182.wav,2,0.78437,1
182.wav,3,-0.3033078,0
184.wav,0,-1.1779542,0
186.wav,0,-1.3059263,0
188.wav,0,0.30493486,1
188.wav,1,1.8846314,1
190.wav,0,0.33351395,1
190.wav,1,-2.875068,0
191.wav,0,-0.7523073,0
191.wav,1,-2.8710923,0
193.wav,0,-0.7796668,0
207.wav,0,-2.1129882,0
209.wav,0,-2.092285,0
211.wav,0,-1.2634032,0
211.wav,1,-2.2310038,0
214.wav,0,-0.8477342,0
215.wav,0,-2.0357418,0
215.wav,1,-1.7545358,0
224.wav,0,-0.8694099,0
224.wav,1,-1.2764078,0
224.wav,2,-0.96962154,0
224.wav,3,-1.1660167,0
225.wav,0,-0.82650983,0
226.wav,0,-1.8241394,0
229.wav,0,-1.6265818,0
231.wav,0,-1.7086424,0
231.wav,1,-0.5622526,0
236.wav,0,-2.414347,0
246.wav,0,1.0153856,1
246.wav,1,-1.1455418,0
251.wav,0,0.31249136,1
251.wav,1,-0.96701175,0
253.wav,0,0.6912549,1
253.wav,1,-0.6894903,0
257.wav,0,0.981181,1
257.wav,1,0.14912227,1
261.wav,0,-1.3252791,0
265.wav,0,-1.3930173,0
265.wav,1,-1.7131054,0
267.wav,0,-1.0098883,0
269.wav,0,-1.0188723,0
269.wav,1,-2.2514555,0
270.wav,0,0.40720096,1
270.wav,1,-1.4988122,0
271.wav,0,-2.1841185,0
273.wav,0,-0.4474666,0
273.wav,1,0.21778342,1
275.wav,0,-1.1919215,0
275.wav,1,-1.5812474,0
277.wav,0,-1.7901802,0
277.wav,1,-1.4865097,0
278.wav,0,1.0776498,1
278.wav,1,0.3098486,1
278.wav,2,-0.95964354,0
282.wav,0,-1.0717584,0
282.wav,1,-1.1127201,0
283.wav,0,-2.1607914,0
283.wav,1,-3.7191298,0
285.wav,0,1.5500113,1
285.wav,1,1.926832,1
285.wav,2,-1.3594621,0
287.wav,0,-0.1069947,0
292.wav,0,-0.25992963,0
293.wav,0,-1.2508813,0
293.wav,1,-2.4591162,0
294.wav,0,-1.0681223,0
295.wav,0,-2.2905474,0
296.wav,0,-0.8930105,0
297.wav,0,-2.4176884,0
302.wav,0,-1.0355301,0
303.wav,0,-1.5347185,0
307.wav,0,-1.3494852,0
307.wav,1,-4.6745234,0
310.wav,0,-0.68265593,0
312.wav,0,-2.5464158,0
312.wav,1,-1.5945185,0
312.wav,2,-4.6889753,0
317.wav,0,-2.0514011,0
318.wav,0,-1.980649,0
318.wav,1,-3.2014973,0
319.wav,0,-0.3783908,0
319.wav,1,-2.2849414,0
324.wav,0,0.29441935,1
324.wav,1,0.3012599,1
324.wav,2,-1.4766033,0
338.wav,0,-2.0372097,0
339.wav,0,-2.543857,0
339.wav,1,-2.3472893,0
341.wav,0,0.3943077,1
341.wav,1,0.69970113,1
341.wav,2,-0.8743479,0
342.wav,0,-1.3222237,0
344.wav,0,-3.1326647,0
344.wav,1,-3.23417,0
344.wav,2,-4.6899815,0
346.wav,0,-0.055465348,0
347.wav,0,0.14700666,1
349.wav,0,-0.98037803,0
349.wav,1,-1.1107048,0
349.wav,2,-2.374931,0
351.wav,0,0.033545617,1
351.wav,1,-0.33164537,0
351.wav,2,-2.4872396,0
353.wav,0,-0.37542993,0
354.wav,0,-0.432792,0
357.wav,0,-1.7940582,0
361.wav,0,-1.5414842,0
368.wav,0,-2.040435,0
368.wav,1,-1.4463191,0
372.wav,0,-1.2378699,0
372.wav,1,-3.5333862,0
374.wav,0,-1.9755744,0
374.wav,1,-1.4912013,0
374.wav,2,-3.679699,0
375.wav,0,0.30754888,1
375.wav,1,-0.9562998,0
380.wav,0,-0.20308544,0
380.wav,1,-1.4132451,0
390.wav,0,-0.9597624,0
390.wav,1,-3.2913868,0
391.wav,0,-0.59385294,0
392.wav,0,-1.8332003,0
393.wav,0,-1.1864619,0
393.wav,1,-2.6811485,0
395.wav,0,-3.2305253,0
397.wav,0,0.3113548,1
397.wav,1,-0.890293,0
397.wav,2,-1.6386313,0
398.wav,0,-2.2386742,0
399.wav,0,0.34340566,1
399.wav,1,0.7761301,1
399.wav,2,0.81351924,1
402.wav,0,-1.5286475,0
403.wav,0,0.8722894,1
403.wav,1,0.6561836,1
403.wav,2,-2.610126,0
408.wav,0,-1.8477733,0
416.wav,0,-2.0747283,0
421.wav,0,-1.9144874,0
422.wav,0,-0.77902836,0
422.wav,1,-1.5460397,0
427.wav,0,-0.97348034,0
427.wav,1,-1.1427791,0
432.wav,0,-1.0393189,0
433.wav,0,-0.62137544,0
433.wav,1,-1.4500823,0
437.wav,0,-3.1014173,0
440.wav,0,-1.3461035,0
441.wav,0,-2.3802385,0
443.wav,0,-1.9265612,0
444.wav,0,-2.2883303,0
445.wav,0,-2.7837024,0
451.wav,0,-0.13667697,0
451.wav,1,-0.08238991,0
451.wav,2,1.5349913,1
451.wav,3,-0.12452768,0
454.wav,0,-2.187475,0
454.wav,1,-2.9573536,0
457.wav,0,-2.3671265,0
460.wav,0,1.473433,1
463.wav,0,-2.0505342,0
464.wav,0,-1.8654032,0
464.wav,1,-0.91969633,0
466.wav,0,-1.6539959,0
474.wav,0,0.48366466,1
474.wav,1,-0.000328782,0
481.wav,0,-0.41281176,0
481.wav,1,-1.080791,0
481.wav,2,-3.2735147,0
484.wav,0,0.097648665,1
484.wav,1,-3.1695836,0
488.wav,0,-1.360631,0
488.wav,1,-0.1821115,0
488.wav,2,-1.8191078,0
489.wav,0,-1.7689611,0
490.wav,0,-0.56118584,0
490.wav,1,-1.9754277,0
490.wav,2,-2.0904765,0
491.wav,0,-2.1027665,0
492.wav,0,0.22712088,1
492.wav,1,-2.0672348,0
493.wav,0,-0.5811523,0
494.wav,0,-2.1436138,0
495.wav,0,-2.5100243,0
495.wav,1,-2.3168104,0
502.wav,0,-0.86062634,0
505.wav,0,-1.7217861,0
509.wav,0,-1.8480867,0
512.wav,0,-2.6227179,0
512.wav,1,-4.718912,0
514.wav,0,-1.1727396,0
515.wav,0,1.032606,1
