name,fragment,score,label
4.wav,0,-2.622272,0
5.wav,0,-2.469904,0
7.wav,0,-1.9655917,0
8.wav,0,-1.4026899,0
8.wav,1,-2.6472967,0
9.wav,0,-2.6892598,0
9.wav,1,-0.90529996,0
11.wav,0,-2.0345123,0
11.wav,1,-3.7869923,0
12.wav,0,-0.13229628,0
14.wav,0,-2.790051,0
18.wav,0,-2.4464056,0
20.wav,0,-2.3130941,0
22.wav,0,0.82873136,1
23.wav,0,-2.4855301,0
26.wav,0,-2.070503,0
27.wav,0,-2.1820505,0
28.wav,0,-3.6978087,0
29.wav,0,-1.8928605,0
30.wav,0,-1.367118,0
33.wav,0,-2.5644064,0
33.wav,1,-3.1353655,0
36.wav,0,-1.9833587,0
37.wav,0,-1.4180855,0
38.wav,0,-2.5075183,0
39.wav,0,-2.8458707,0
44.wav,0,-0.32008234,0
45.wav,0,-0.83354187,0
45.wav,1,-0.8694907,0
45.wav,2,-1.395769,0
45.wav,3,-2.1575909,0
46.wav,0,-1.0460259,0
46.wav,1,-3.1822228,0
48.wav,0,-1.9631846,0
49.wav,0,-1.3047328,0
51.wav,0,-1.8859316,0
52.wav,0,-0.29986754,0
52.wav,1,-0.32010102,0
53.wav,0,-1.823759,0
54.wav,0,-3.1093173,0
55.wav,0,-2.1368983,0
56.wav,0,-2.1254952,0
58.wav,0,-0.43542308,0
64.wav,0,-1.3097332,0
64.wav,1,-3.503833,0
66.wav,0,-3.0933495,0
67.wav,0,-0.66905653,0
70.wav,0,-1.8947282,0
71.wav,0,-0.9884045,0
72.wav,0,-0.84398717,0
72.wav,1,-0.36615163,0
73.wav,0,-2.0264866,0
74.wav,0,-2.2262366,0
75.wav,0,-1.8573344,0
77.wav,0,-2.6835191,0
78.wav,0,-0.74238,0
80.wav,0,-0.40423694,0
80.wav,1,-2.8612752,0
82.wav,0,-3.9448802,0
82.wav,1,-3.3378236,0
82.wav,2,-1.8342695,0
83.wav,0,-2.1757934,0
84.wav,0,-1.0358818,0
85.wav,0,0.16723533,1
85.wav,1,-0.51134187,0
86.wav,0,-2.3429432,0
87.wav,0,-1.4953753,0
88.wav,0,-1.2871343,0
89.wav,0,0.21971172,1
89.wav,1,-4.735401,0
90.wav,0,-2.5932546,0
93.wav,0,-1.0597275,0
94.wav,0,-1.7828413,0
95.wav,0,-1.323521,0
96.wav,0,-2.1423836,0
97.wav,0,-0.71657795,0
97.wav,1,-2.6653621,0
98.wav,0,-3.459725,0
98.wav,1,-3.3406746,0
98.wav,2,-3.1372359,0
98.wav,3,-1.5236503,0
99.wav,0,-0.90620357,0
100.wav,0,-0.08871382,0
102.wav,0,-1.4053192,0
102.wav,1,-2.344665,0
104.wav,0,-1.423259,0
105.wav,0,-1.108119,0
106.wav,0,-1.0118592,0
106.wav,1,-1.9230736,0
108.wav,0,-2.0207846,0
109.wav,0,-1.5768756,0
111.wav,0,-1.0981345,0
112.wav,0,-2.4696434,0
112.wav,1,-4.800392,0
113.wav,0,0.5395893,1
113.wav,1,0.96497124,1
113.wav,2,-1.3486509,0
113.wav,3,-0.6676928,0
115.wav,0,-1.7118046,0
119.wav,0,-1.1148645,0
119.wav,1,-2.8234518,0
120.wav,0,-0.35092348,0
121.wav,0,-1.8570832,0
123.wav,0,-1.8740871,0
124.wav,0,-1.3666607,0
125.wav,0,-2.2054627,0
129.wav,0,-0.6170748,0
129.wav,1,-2.36349,0
130.wav,0,-0.83735764,0
131.wav,0,-1.6674209,0
133.wav,0,-2.246893,0
134.wav,0,-1.4084226,0
134.wav,1,-2.0562751,0
134.wav,2,-2.7651908,0
137.wav,0,-2.5413404,0
140.wav,0,-0.6913303,0
140.wav,1,-3.5094018,0
141.wav,0,-2.0257084,0
142.wav,0,-0.02654295,0
142.wav,1,-0.98417395,0
143.wav,0,-2.4248211,0
143.wav,1,-2.867153,0
145.wav,0,-1.6920191,0
147.wav,0,-3.1723702,0
149.wav,0,-2.6221154,0
151.wav,0,-1.0879233,0
152.wav,0,-1.3662505,0
154.wav,0,-1.7913871,0
156.wav,0,-1.824891,0
157.wav,0,-1.083667,0
158.wav,0,-1.648745,0
158.wav,1,-0.12222764,0
158.wav,2,-1.4542199,0
160.wav,0,-2.475535,0
161.wav,0,-1.6537306,0
162.wav,0,-0.449803,0
164.wav,0,-1.4449797,0
166.wav,0,-3.4053686,0
167.wav,0,-1.3668189,0
167.wav,1,-2.4486046,0
168.wav,0,-1.3398728,0
168.wav,1,-1.7354953,0
169.wav,0,-1.679804,0
171.wav,0,-1.0912657,0
173.wav,0,-2.269676,0
176.wav,0,-1.8432872,0
177.wav,0,-1.5652916,0
178.wav,0,-0.63327956,0
178.wav,1,-1.8886403,0
180.wav,0,-0.86104405,0
180.wav,1,-4.6421785,0
181.wav,0,-2.3985288,0
181.wav,1,-3.992262,0
183.wav,0,-1.2859133,0
185.wav,0,-2.9235086,0
185.wav,1,-2.614133,0
187.wav,0,-1.2191092,0
189.wav,0,-1.5913672,0
192.wav,0,-2.1378713,0
194.wav,0,-0.5517227,0
194.wav,1,-1.8802447,0
195.wav,0,-3.3924396,0
196.wav,0,-0.12625764,0
196.wav,1,-0.48527133,0
197.wav,0,-1.0489496,0
197.wav,1,-2.6701636,0
198.wav,0,-1.9124998,0
199.wav,0,-2.10729,0
200.wav,0,-0.84222287,0
201.wav,0,-1.7756987,0
202.wav,0,-1.8253233,0
203.wav,0,-2.2538393,0
204.wav,0,-2.3671286,0
205.wav,0,-2.1136394,0
206.wav,0,-2.8890069,0
206.wav,1,-2.5693414,0
208.wav,0,-0.25326583,0
210.wav,0,-2.7073545,0
212.wav,0,-3.4328043,0
212.wav,1,-3.041876,0
213.wav,0,-1.1390948,0
216.wav,0,-1.4807212,0
217.wav,0,-1.9887873,0
218.wav,0,-1.6662138,0
219.wav,0,-2.5342467,0
219.wav,1,-2.0285628,0
220.wav,0,-1.9132985,0
221.wav,0,-0.1585641,0
221.wav,1,-1.9342482,0
222.wav,0,-0.52666056,0
222.wav,1,-2.7240365,0
223.wav,0,-1.2500297,0
223.wav,1,-0.49314246,0
223.wav,2,-1.574934,0
227.wav,0,-0.7613051,0
227.wav,1,-4.474005,0
228.wav,0,-1.3779619,0
230.wav,0,-1.816803,0
232.wav,0,-1.0718206,0
233.wav,0,-1.0809337,0
234.wav,0,-2.2953901,0
235.wav,0,-1.3703381,0
237.wav,0,-2.442058,0
237.wav,1,-4.243785,0
238.wav,0,-1.2411674,0
238.wav,1,-3.403743,0
239.wav,0,-1.3884299,0
240.wav,0,-1.3584305,0
241.wav,0,-1.4331932,0
242.wav,0,-2.7394326,0
243.wav,0,-2.5518744,0
244.wav,0,-0.12062283,0
244.wav,1,-2.3038716,0
245.wav,0,-0.98080784,0
245.wav,1,-1.908819,0
247.wav,0,-1.6115124,0
247.wav,1,-2.6207178,0
248.wav,0,-2.1780708,0
249.wav,0,-2.3287091,0
250.wav,0,-2.2584083,0
250.wav,1,-3.034333,0
252.wav,0,-4.518913,0
254.wav,0,-1.8940313,0
255.wav,0,-0.36115968,0
256.wav,0,-1.8141781,0
258.wav,0,-0.05275869,0
259.wav,0,-0.32732603,0
260.wav,0,-0.28032887,0
262.wav,0,-1.2837583,0
263.wav,0,-2.7616394,0
263.wav,1,-3.191899,0
264.wav,0,-1.6960196,0
264.wav,1,-2.6204524,0
264.wav,2,-2.4757926,0
264.wav,3,-1.0847963,0
264.wav,4,-2.8847795,0
266.wav,0,-0.66960573,0
268.wav,0,-1.8597298,0
272.wav,0,0.119558305,1
272.wav,1,-1.9637713,0
274.wav,0,-2.147235,0
276.wav,0,-0.5920662,0
276.wav,1,-2.9548419,0
279.wav,0,-2.154534,0
279.wav,1,-2.8273857,0
280.wav,0,-1.1319513,0
281.wav,0,-0.60489506,0
284.wav,0,-2.2241223,0
284.wav,1,-1.4950178,0
286.wav,0,-1.77469,0
288.wav,0,-0.64963514,0
288.wav,1,-4.059597,0
289.wav,0,-1.9774837,0
290.wav,0,-1.7924603,0
290.wav,1,-1.8818526,0
291.wav,0,-4.055519,0
298.wav,0,-2.1219456,0
299.wav,0,-2.4693673,0
300.wav,0,-2.093426,0
301.wav,0,-0.8884553,0
304.wav,0,0.046167996,1
305.wav,0,-0.8557857,0
305.wav,1,-1.6466234,0
306.wav,0,-1.2649409,0
308.wav,0,-1.6981679,0
309.wav,0,-1.3777447,0
311.wav,0,-1.3124186,0
313.wav,0,-1.5634353,0
314.wav,0,-2.7664938,0
314.wav,1,-2.4437783,0
314.wav,2,-2.3081665,0
314.wav,3,-1.9443412,0
315.wav,0,-2.219303,0
316.wav,0,-0.75225,0
320.wav,0,-1.874493,0
321.wav,0,-2.8993886,0
322.wav,0,-1.7957009,0
323.wav,0,0.10525691,1
325.wav,0,-1.0882638,0
326.wav,0,-1.1423497,0
327.wav,0,-0.28702408,0
328.wav,0,-1.1341913,0
329.wav,0,-2.1122253,0
330.wav,0,-1.0722723,0
331.wav,0,0.09631859,1
331.wav,1,-1.0561347,0
