name,fragment,score,label
0.wav,0,-3.5530124,-3.5530123710632324
1.wav,0,-3.652705,-3.652704954147339
1.wav,1,-3.6295314,-3.6295313835144043
1.wav,2,-3.567712,-3.5677120685577393
2.wav,0,-3.5979536,-3.5979535579681396
2.wav,1,-3.5403485,-3.540348529815674
2.wav,2,4.4496837,4.449683666229248
3.wav,0,-3.62691,-3.6269099712371826
3.wav,1,-3.5890315,-3.589031457901001
3.wav,2,-3.5967944,-3.596794366836548
6.wav,0,-3.595347,-3.5953469276428223
6.wav,1,2.1789591,2.1789591312408447
10.wav,0,-3.6627977,-3.662797689437866
10.wav,1,-3.656477,-3.6564769744873047
10.wav,2,4.436961,4.4369611740112305
13.wav,0,-3.5627306,-3.562730550765991
15.wav,0,-3.647041,-3.647041082382202
15.wav,1,-3.6174686,-3.6174685955047607
16.wav,0,-3.678671,-3.678670883178711
17.wav,0,-3.6375866,-3.6375865936279297
19.wav,0,-3.3988085,-3.398808479309082
19.wav,1,-3.4970818,-3.497081756591797
21.wav,0,-3.6425111,-3.6425111293792725
21.wav,1,-3.5515666,-3.5515666007995605
24.wav,0,-3.6682835,-3.668283462524414
25.wav,0,-3.6473587,-3.6473586559295654
25.wav,1,-3.6576922,-3.6576921939849854
25.wav,2,-3.6442928,-3.6442928314208984
25.wav,3,-3.5614128,-3.561412811279297
31.wav,0,-3.7014837,-3.701483726501465
31.wav,1,-3.6264706,-3.6264705657958984
31.wav,2,-3.6451147,-3.6451146602630615
31.wav,3,-3.621614,-3.6216139793395996
32.wav,0,-3.6589427,-3.658942699432373
32.wav,1,-3.3718622,-3.3718621730804443
34.wav,0,-3.6996453,-3.6996452808380127
34.wav,1,-3.1168687,-3.116868734359741
35.wav,0,-3.6690266,-3.6690266132354736
35.wav,1,-3.498588,-3.4985880851745605
40.wav,0,-3.5108047,-3.5108046531677246
41.wav,0,-3.6373048,-3.6373047828674316
41.wav,1,-2.7053957,-2.7053956985473633
42.wav,0,-3.6205912,-3.620591163635254
43.wav,0,-3.6599827,-3.659982681274414
47.wav,0,-3.6923892,-3.6923892498016357
47.wav,1,-3.321309,-3.3213090896606445
50.wav,0,-3.5805023,-3.5805022716522217
57.wav,0,-3.3522317,-3.352231740951538
59.wav,0,-3.5661776,-3.5661776065826416
59.wav,1,-3.589914,-3.589914083480835
59.wav,2,-3.6286833,-3.62868332862854
60.wav,0,-3.5274463,-3.5274462699890137
61.wav,0,-3.697338,-3.697338104248047
61.wav,1,-3.6492603,-3.6492602825164795
62.wav,0,-3.5965505,-3.596550464630127
63.wav,0,-3.6614456,-3.6614456176757812
63.wav,1,-2.4847572,-2.4847571849823
65.wav,0,-3.566485,-3.5664849281311035
65.wav,1,-3.6867383,-3.6867382526397705
68.wav,0,-3.4584258,-3.458425760269165
69.wav,0,-3.6655142,-3.6655142307281494
69.wav,1,-3.3660805,-3.3660805225372314
76.wav,0,-3.6249337,-3.6249337196350098
79.wav,0,-3.5240433,-3.524043321609497
81.wav,0,-3.4845998,-3.4845998287200928
91.wav,0,-3.5732262,-3.5732262134552
92.wav,0,-3.6414368,-3.641436815261841
101.wav,0,-3.3322148,-3.332214832305908
103.wav,0,-3.6401625,-3.640162467956543
103.wav,1,-3.6502187,-3.6502187252044678
107.wav,0,-3.7433136,-3.7433135509490967
107.wav,1,-2.4102886,-2.4102885723114014
110.wav,0,-3.6328025,-3.6328024864196777
114.wav,0,-3.6563313,-3.6563313007354736
116.wav,0,-3.630163,-3.6301629543304443
116.wav,1,3.894888,3.894887924194336
117.wav,0,-3.2828314,-3.2828314304351807
118.wav,0,-3.6162355,-3.6162354946136475
122.wav,0,-1.5978104,-1.5978103876113892
126.wav,0,-3.6898654,-3.6898653507232666
126.wav,1,-3.672241,-3.672240972518921
126.wav,2,-3.662954,-3.662954092025757
127.wav,0,-3.658603,-3.6586029529571533
127.wav,1,-2.8011007,-2.801100730895996
128.wav,0,-3.6335883,-3.6335883140563965
128.wav,1,3.5744627,3.574462652206421
132.wav,0,-3.619411,-3.619410991668701
135.wav,0,-3.543755,-3.543755054473877
136.wav,0,-3.6930413,-3.6930413246154785
136.wav,1,-3.670828,-3.670828104019165
138.wav,0,-3.5559146,-3.5559146404266357
138.wav,1,-3.62345,-3.6234500408172607
138.wav,2,-3.605663,-3.6056630611419678
138.wav,3,-3.5678093,-3.5678093433380127
138.wav,4,-3.5189874,-3.5189874172210693
138.wav,5,-3.548829,-3.5488290786743164
139.wav,0,-3.6477792,-3.6477792263031006
139.wav,1,-3.6295757,-3.629575729370117
139.wav,2,4.4636264,4.463626384735107
144.wav,0,-3.452107,-3.4521069526672363
146.wav,0,-3.215379,-3.215378999710083
148.wav,0,-3.672408,-3.672408103942871
