name,fragment,score,label
0.wav,0,-0.7696145176887512,0
1.wav,0,0.3631831407546997,1
1.wav,1,0.7463642358779907,1
1.wav,2,0.3400823175907135,1
2.wav,0,0.27294784784317017,1
2.wav,1,0.1932014524936676,1
2.wav,2,2.8963401317596436,1
3.wav,0,-1.4482214450836182,0
3.wav,1,-1.5508058071136475,0
3.wav,2,0.4909207820892334,1
6.wav,0,1.113113522529602,1
6.wav,1,2.9799327850341797,1
10.wav,0,-1.4726332426071167,0
10.wav,1,-2.0538952350616455,0
10.wav,2,2.3498847484588623,1
13.wav,0,1.5873007774353027,1
15.wav,0,-2.497796058654785,0
15.wav,1,-2.1294260025024414,0
16.wav,0,-1.6774659156799316,0
17.wav,0,1.2372599840164185,1
19.wav,0,-0.5683683156967163,0
19.wav,1,-0.879757285118103,0
21.wav,0,1.09097158908844,1
21.wav,1,-0.06740977615118027,0
24.wav,0,-0.4680697023868561,0
25.wav,0,-0.05368432775139809,0
25.wav,1,0.5338752269744873,1
25.wav,2,-0.017751548439264297,0
25.wav,3,0.59693443775177,1
31.wav,0,-2.956951379776001,0
31.wav,1,-1.9201619625091553,0
31.wav,2,-1.8010226488113403,0
31.wav,3,-1.4831809997558594,0
32.wav,0,-0.9950558543205261,0
32.wav,1,-2.457385540008545,0
34.wav,0,-1.1552459001541138,0
34.wav,1,-0.6452846527099609,0
35.wav,0,-1.2066034078598022,0
35.wav,1,-0.33969488739967346,0
40.wav,0,-1.2203073501586914,0
41.wav,0,-0.599388062953949,0
41.wav,1,-0.6770679950714111,0
42.wav,0,-0.12147743999958038,0
43.wav,0,-0.19981661438941956,0
47.wav,0,0.11082310229539871,1
47.wav,1,0.608730137348175,1
50.wav,0,0.6815299391746521,1
57.wav,0,-2.073007583618164,0
59.wav,0,-0.6705964207649231,0
59.wav,1,-1.260954737663269,0
59.wav,2,-2.7726337909698486,0
60.wav,0,0.6428998112678528,1
61.wav,0,0.3172943890094757,1
61.wav,1,-0.296875,0
62.wav,0,-1.8844354152679443,0
63.wav,0,-0.6527172327041626,0
63.wav,1,-1.170033574104309,0
65.wav,0,-0.7294660806655884,0
65.wav,1,-0.12221738696098328,0
68.wav,0,-1.0182340145111084,0
69.wav,0,-1.2620738744735718,0
69.wav,1,0.1993982493877411,1
76.wav,0,-0.3941267728805542,0
79.wav,0,-0.0267510823905468,0
81.wav,0,-0.24921280145645142,0
91.wav,0,1.4140580892562866,1
92.wav,0,0.1952383816242218,1
101.wav,0,-1.1691786050796509,0
103.wav,0,-2.401815176010132,0
103.wav,1,-2.2157938480377197,0
