name,fragment,score,label
0.wav,0,-3.599674940109253,0
1.wav,0,-3.6527042388916016,0
1.wav,1,-3.629530429840088,0
1.wav,2,-3.6087429523468018,0
2.wav,0,-3.597951650619507,0
2.wav,1,-3.540353775024414,0
2.wav,2,4.4264397621154785,1
3.wav,0,-3.626908779144287,0
3.wav,1,-3.589029550552368,0
3.wav,2,-3.6922619342803955,0
6.wav,0,-3.5953454971313477,0
6.wav,1,-3.6592624187469482,0
10.wav,0,-3.6628005504608154,0
10.wav,1,-3.6564769744873047,0
10.wav,2,4.437037944793701,1
13.wav,0,-3.6316938400268555,0
15.wav,0,-3.6470437049865723,0
15.wav,1,-3.6814587116241455,0
16.wav,0,-3.666738986968994,0
17.wav,0,-3.6501166820526123,0
19.wav,0,-3.3988101482391357,0
19.wav,1,-3.545931100845337,0
21.wav,0,-3.6425092220306396,0
21.wav,1,-3.6252920627593994,0
24.wav,0,-3.685439109802246,0
25.wav,0,-3.6473581790924072,0
25.wav,1,-3.6576926708221436,0
25.wav,2,-3.6442947387695312,0
25.wav,3,-3.686495780944824,0
31.wav,0,-3.701486825942993,0
31.wav,1,-3.62646484375,0
31.wav,2,-3.6451189517974854,0
31.wav,3,-3.614500045776367,0
32.wav,0,-3.6589434146881104,0
32.wav,1,-3.6996309757232666,0
34.wav,0,-3.699648141860962,0
34.wav,1,-3.725694417953491,0
35.wav,0,-3.6690256595611572,0
35.wav,1,-3.6266210079193115,0
40.wav,0,-3.6564736366271973,0
41.wav,0,-3.6373000144958496,0
41.wav,1,-3.655700445175171,0
42.wav,0,-3.662952423095703,0
43.wav,0,-3.660470962524414,0
47.wav,0,-3.692389726638794,0
47.wav,1,-3.6039652824401855,0
50.wav,0,-3.66371488571167,0
57.wav,0,-3.7317850589752197,0
59.wav,0,-3.5661771297454834,0
59.wav,1,-3.5899078845977783,0
59.wav,2,-3.6327803134918213,0
60.wav,0,-3.6525135040283203,0
61.wav,0,-3.697338342666626,0
61.wav,1,-3.6600139141082764,0
62.wav,0,-3.619588613510132,0
63.wav,0,-3.661447286605835,0
63.wav,1,-3.605717182159424,0
65.wav,0,-3.566484212875366,0
65.wav,1,-3.6997005939483643,0
68.wav,0,-3.618368625640869,0
69.wav,0,-3.665520668029785,0
69.wav,1,-3.676558494567871,0
76.wav,0,-3.6594676971435547,0
79.wav,0,-3.5733768939971924,0
81.wav,0,-3.613391876220703,0
91.wav,0,-3.621852397918701,0
92.wav,0,-3.6276309490203857,0
101.wav,0,-3.5977628231048584,0
103.wav,0,-3.640180826187134,0
103.wav,1,-3.6817023754119873,0
107.wav,0,-3.743314266204834,0
107.wav,1,-3.565904378890991,0
110.wav,0,-3.708383798599243,0
114.wav,0,-3.7107913494110107,0
116.wav,0,-3.6301610469818115,0
116.wav,1,-0.46004077792167664,1
117.wav,0,-3.6420037746429443,0
118.wav,0,-3.6297481060028076,0
122.wav,0,-3.280089855194092,0
126.wav,0,-3.68986439704895,0
126.wav,1,-3.6722419261932373,0
126.wav,2,-3.6164934635162354,0
127.wav,0,-3.658607244491577,0
127.wav,1,-3.6295440196990967,0
128.wav,0,-3.633587121963501,0
128.wav,1,-3.4206268787384033,0
132.wav,0,-3.600461959838867,0
135.wav,0,-3.656869411468506,0
136.wav,0,-3.693044424057007,0
136.wav,1,-3.6861939430236816,0
138.wav,0,-3.5559051036834717,0
138.wav,1,-3.62345027923584,0
138.wav,2,-3.605665445327759,0
138.wav,3,-3.567802667617798,0
138.wav,4,-3.5189855098724365,0
138.wav,5,-3.5907952785491943,0
139.wav,0,-3.6477813720703125,0
139.wav,1,-3.629582643508911,0
139.wav,2,4.369907855987549,1
144.wav,0,-3.525571823120117,0
146.wav,0,-3.535461902618408,0
148.wav,0,-3.673743724822998,0
150.wav,0,-3.593041181564331,0
153.wav,0,-3.6223225593566895,0
155.wav,0,-3.6671500205993652,0
155.wav,1,-3.6503612995147705,0
159.wav,0,-3.7026774883270264,0
159.wav,1,-3.552961826324463,0
163.wav,0,-3.6500675678253174,0
165.wav,0,-3.6349716186523438,0
165.wav,1,-3.614640235900879,0
165.wav,2,-3.152385950088501,1
170.wav,0,-3.583801507949829,0
172.wav,0,-3.6498842239379883,0
172.wav,1,-3.65423846244812,0
174.wav,0,-3.668591260910034,0
174.wav,1,-3.6501519680023193,0
174.wav,2,-3.637265205383301,0
174.wav,3,-3.68902587890625,0
175.wav,0,-3.7162270545959473,0
179.wav,0,-3.6873247623443604,0
179.wav,1,-3.6491618156433105,0
182.wav,0,-3.643754243850708,0
182.wav,1,-3.615508794784546,0
182.wav,2,-3.6343441009521484,0
182.wav,3,-3.624891996383667,0
184.wav,0,-3.610086679458618,0
186.wav,0,-3.6936655044555664,0
188.wav,0,-3.5520355701446533,0
188.wav,1,-3.54781436920166,0
190.wav,0,-3.6448590755462646,0
190.wav,1,-3.5399327278137207,0
191.wav,0,-3.6477420330047607,0
191.wav,1,-3.6285221576690674,0
193.wav,0,-3.594619035720825,0
207.wav,0,-3.658703327178955,0
209.wav,0,-3.6545872688293457,0
211.wav,0,-3.6691436767578125,0
211.wav,1,-3.5375730991363525,0
214.wav,0,-3.6595427989959717,0
215.wav,0,-3.6812782287597656,0
215.wav,1,-3.624354124069214,0
224.wav,0,-3.6019208431243896,0
224.wav,1,-3.6504266262054443,0
224.wav,2,-3.6439597606658936,0
224.wav,3,-3.6952621936798096,0
