name,fragment,score,label
4.wav,0,-4.535560131072998,0
5.wav,0,-3.823239803314209,0
7.wav,0,-3.683788299560547,0
8.wav,0,-2.7877421379089355,0
8.wav,1,-5.373806953430176,0
9.wav,0,-3.873687982559204,0
9.wav,1,-1.2892957925796509,0
11.wav,0,-2.820044755935669,0
11.wav,1,-2.1043386459350586,0
12.wav,0,-2.2301740646362305,0
14.wav,0,-3.615347385406494,0
18.wav,0,-3.731384754180908,0
20.wav,0,-3.456575632095337,0
22.wav,0,0.4175340533256531,1
23.wav,0,-3.633096933364868,0
26.wav,0,-2.354307174682617,0
27.wav,0,-4.377017021179199,0
28.wav,0,-4.664775371551514,0
29.wav,0,-3.27803635597229,0
30.wav,0,-1.6941442489624023,0
33.wav,0,-4.237107753753662,0
33.wav,1,-7.157175540924072,0
36.wav,0,-4.080638408660889,0
37.wav,0,-3.13270902633667,0
38.wav,0,-3.8759710788726807,0
39.wav,0,-4.681697368621826,0
44.wav,0,-3.086265802383423,0
45.wav,0,-2.6138720512390137,0
45.wav,1,-2.322206735610962,0
45.wav,2,-3.3766238689422607,0
45.wav,3,-3.3368732929229736,0
46.wav,0,-2.3687174320220947,0
46.wav,1,-1.360450267791748,0
48.wav,0,-2.3073744773864746,0
49.wav,0,-2.714426040649414,0
51.wav,0,-3.5195767879486084,0
52.wav,0,-2.6695938110351562,0
52.wav,1,-0.7883660793304443,0
53.wav,0,-0.963661789894104,0
54.wav,0,-3.580474853515625,0
55.wav,0,-2.91678786277771,0
56.wav,0,-2.6601133346557617,0
58.wav,0,-1.3727670907974243,0
64.wav,0,-3.1890876293182373,0
64.wav,1,-5.793864727020264,0
66.wav,0,-3.7034010887145996,0
67.wav,0,-3.4125101566314697,0
70.wav,0,-3.0741965770721436,0
71.wav,0,-1.624674916267395,0
72.wav,0,-2.392162561416626,0
72.wav,1,-1.4129334688186646,0
73.wav,0,-2.597397804260254,0
74.wav,0,-4.873028755187988,0
75.wav,0,-3.054924964904785,0
77.wav,0,-3.7377355098724365,0
78.wav,0,-1.5214800834655762,0
80.wav,0,-2.478234052658081,0
80.wav,1,-4.401299953460693,0
82.wav,0,-5.403072357177734,0
82.wav,1,-4.900577545166016,0
82.wav,2,-3.4608724117279053,0
83.wav,0,-4.244063377380371,0
84.wav,0,-1.0599576234817505,0
85.wav,0,-1.4647985696792603,0
85.wav,1,-2.374692916870117,0
86.wav,0,-4.525322914123535,0
87.wav,0,-3.110630750656128,0
88.wav,0,-1.2922972440719604,0
89.wav,0,-2.4404914379119873,0
89.wav,1,-3.944488525390625,0
90.wav,0,-4.922364711761475,0
93.wav,0,-2.6510426998138428,0
94.wav,0,-2.667715072631836,0
95.wav,0,-2.782399892807007,0
96.wav,0,-3.0635435581207275,0
97.wav,0,-2.599574565887451,0
97.wav,1,-3.2173268795013428,0
98.wav,0,-7.2630696296691895,0
98.wav,1,-6.820495128631592,0
98.wav,2,-5.702812671661377,0
98.wav,3,-3.448509931564331,0
99.wav,0,-0.8724473714828491,0
100.wav,0,0.09516546130180359,1
102.wav,0,-2.184016227722168,0
102.wav,1,-2.8303723335266113,0
104.wav,0,-2.2221267223358154,0
105.wav,0,-1.7622686624526978,0
106.wav,0,-3.810476541519165,0
106.wav,1,-3.244859457015991,0
108.wav,0,-3.7583112716674805,0
109.wav,0,-3.203362226486206,0
111.wav,0,-1.5636167526245117,0
112.wav,0,-3.4898293018341064,0
112.wav,1,0.25924044847488403,1
113.wav,0,-0.9169963002204895,0
113.wav,1,-0.610823929309845,0
113.wav,2,-1.8271733522415161,0
113.wav,3,-1.080018401145935,0
115.wav,0,-1.427074670791626,0
119.wav,0,-2.3406083583831787,0
119.wav,1,-4.086456775665283,0
120.wav,0,-0.9441320896148682,0
121.wav,0,-2.2098662853240967,0
123.wav,0,-3.768949270248413,0
124.wav,0,-2.197031021118164,0
125.wav,0,-2.3042585849761963,0
129.wav,0,-1.2695070505142212,0
129.wav,1,-3.273695707321167,0
130.wav,0,0.057811107486486435,1
131.wav,0,-3.3026416301727295,0
133.wav,0,-1.4251964092254639,0
134.wav,0,-3.7230124473571777,0
134.wav,1,-3.938930034637451,0
134.wav,2,-3.21865177154541,0
137.wav,0,-4.355498790740967,0
140.wav,0,-2.390749216079712,0
140.wav,1,-4.807651996612549,0
141.wav,0,-3.2507517337799072,0
142.wav,0,-1.2389404773712158,0
142.wav,1,-1.2476218938827515,0
143.wav,0,-4.364847660064697,0
143.wav,1,-4.921030521392822,0
145.wav,0,-2.7973833084106445,0
147.wav,0,-5.425981044769287,0
149.wav,0,-2.5975186824798584,0
151.wav,0,-2.7657480239868164,0
152.wav,0,-2.6417059898376465,0
154.wav,0,-2.875067949295044,0
156.wav,0,-2.288606882095337,0
157.wav,0,-2.6522510051727295,0
158.wav,0,-3.741328716278076,0
158.wav,1,-2.9858696460723877,0
158.wav,2,-2.8615453243255615,0
160.wav,0,-4.040757179260254,0
161.wav,0,-1.6603004932403564,0
162.wav,0,-2.1349375247955322,0
164.wav,0,-1.35651433467865,0
166.wav,0,-6.767317771911621,0
167.wav,0,-2.9351532459259033,0
167.wav,1,-1.6922043561935425,0
168.wav,0,-2.6805150508880615,0
168.wav,1,-2.8539841175079346,0
169.wav,0,-2.4396402835845947,0
171.wav,0,-2.396979570388794,0
173.wav,0,-3.722047805786133,0
176.wav,0,-1.685548186302185,0
177.wav,0,-1.6243025064468384,0
178.wav,0,-1.5149672031402588,0
178.wav,1,-1.7974286079406738,0
180.wav,0,-3.210437536239624,0
180.wav,1,-4.9013590812683105,0
181.wav,0,-3.47760272026062,0
181.wav,1,-4.580664157867432,0
183.wav,0,-2.52103853225708,0
185.wav,0,-5.1227922439575195,0
185.wav,1,-5.374141693115234,0
187.wav,0,-0.9265756607055664,0
189.wav,0,-3.337804079055786,0
192.wav,0,-4.038024425506592,0
194.wav,0,-1.6053111553192139,0
194.wav,1,-3.5849087238311768,0
195.wav,0,-3.6914284229278564,0
196.wav,0,-1.3673639297485352,0
196.wav,1,-0.8344759941101074,0
197.wav,0,-2.348146915435791,0
197.wav,1,-3.5266952514648438,0
198.wav,0,-2.9080698490142822,0
199.wav,0,-3.547255277633667,0
200.wav,0,-1.8267788887023926,0
201.wav,0,-3.379298448562622,0
202.wav,0,-3.389983654022217,0
203.wav,0,-2.771677255630493,0
204.wav,0,-3.801534652709961,0
205.wav,0,-2.9789540767669678,0
206.wav,0,-4.140137195587158,0
206.wav,1,-6.642710208892822,0
208.wav,0,-0.7739853858947754,0
210.wav,0,-4.547454357147217,0
212.wav,0,-5.058034896850586,0
212.wav,1,-5.28953218460083,0
213.wav,0,-3.439152717590332,0
216.wav,0,-2.9543330669403076,0
217.wav,0,-1.788224697113037,0
218.wav,0,-2.411532163619995,0
219.wav,0,-3.7367517948150635,0
219.wav,1,-4.325384140014648,0
220.wav,0,-1.6664044857025146,0
221.wav,0,-1.5177065134048462,0
221.wav,1,-1.9607847929000854,0
222.wav,0,-2.0095174312591553,0
222.wav,1,-3.157808542251587,0
223.wav,0,-2.4230294227600098,0
223.wav,1,-2.3663861751556396,0
223.wav,2,-1.362088680267334,0
227.wav,0,-2.602327346801758,0
227.wav,1,-3.257662296295166,0
228.wav,0,-2.252742052078247,0
230.wav,0,-3.6111857891082764,0
232.wav,0,0.3227781355381012,1
233.wav,0,-2.6389617919921875,0
234.wav,0,-3.7906408309936523,0
235.wav,0,-1.2333446741104126,0
237.wav,0,-3.6778345108032227,0
237.wav,1,-4.22524881362915,0
238.wav,0,-2.9625813961029053,0
238.wav,1,-4.414828777313232,0
239.wav,0,-2.6459991931915283,0
240.wav,0,-1.279685378074646,0
241.wav,0,-1.2670892477035522,0
242.wav,0,-4.089843273162842,0
243.wav,0,-4.396857738494873,0
244.wav,0,-2.143611431121826,0
244.wav,1,-2.69537615776062,0
245.wav,0,-1.8619543313980103,0
245.wav,1,-2.7501637935638428,0
