name,fragment,score,label
4.wav,0,-2.385373115539551,0
5.wav,0,-2.556936740875244,0
7.wav,0,-1.5758253335952759,0
8.wav,0,-1.4025790691375732,0
8.wav,1,-3.346313238143921,0
9.wav,0,-2.689274549484253,0
9.wav,1,-0.7472835779190063,0
11.wav,0,-2.0345520973205566,0
11.wav,1,-1.5580954551696777,0
12.wav,0,-0.06204906478524208,0
14.wav,0,-3.5110058784484863,0
18.wav,0,-2.848450183868408,0
20.wav,0,-2.6236448287963867,0
22.wav,0,1.596065878868103,1
23.wav,0,-2.390596389770508,0
26.wav,0,-1.669033408164978,0
27.wav,0,-1.9469244480133057,0
28.wav,0,-2.840897560119629,0
29.wav,0,-1.630934238433838,0
30.wav,0,0.18290668725967407,1
33.wav,0,-2.5643668174743652,0
33.wav,1,-6.220437049865723,0
36.wav,0,-2.88362979888916,0
37.wav,0,-1.3195027112960815,0
38.wav,0,-2.483409881591797,0
39.wav,0,-2.411499261856079,0
44.wav,0,-0.31648027896881104,0
45.wav,0,-0.8335521221160889,0
45.wav,1,-0.8695371150970459,0
45.wav,2,-1.3957115411758423,0
45.wav,3,-2.0291757583618164,0
46.wav,0,-1.0459715127944946,0
46.wav,1,0.2509792745113373,1
48.wav,0,-1.8015692234039307,0
49.wav,0,-1.2237694263458252,0
51.wav,0,-1.591728687286377,0
52.wav,0,-0.2998199164867401,0
52.wav,1,-0.2835864722728729,0
53.wav,0,0.032062191516160965,1
54.wav,0,-2.266308069229126,0
55.wav,0,-1.3187453746795654,0
56.wav,0,-1.9153388738632202,0
58.wav,0,0.12307468056678772,1
64.wav,0,-1.3097500801086426,0
64.wav,1,-2.5072648525238037,0
66.wav,0,-1.9795300960540771,0
67.wav,0,-0.6904688477516174,0
70.wav,0,-1.9680947065353394,0
71.wav,0,-0.7738645076751709,0
72.wav,0,-0.843961775302887,0
72.wav,1,0.36552631855010986,1
73.wav,0,-1.5306886434555054,0
74.wav,0,-2.39373779296875,0
75.wav,0,-2.050964832305908,0
77.wav,0,-1.1491833925247192,0
78.wav,0,-0.14257019758224487,0
80.wav,0,-0.4043327271938324,0
80.wav,1,-2.413743734359741,0
82.wav,0,-3.9448580741882324,0
82.wav,1,-3.3378279209136963,0
82.wav,2,-1.8841464519500732,0
83.wav,0,-2.345306873321533,0
84.wav,0,-0.2266627550125122,0
85.wav,0,0.1672525554895401,1
85.wav,1,-0.25054535269737244,0
86.wav,0,-1.8121966123580933,0
87.wav,0,-1.1501445770263672,0
88.wav,0,-0.5847629904747009,0
89.wav,0,0.2197636514902115,1
89.wav,1,-1.4776268005371094,0
90.wav,0,-2.4077279567718506,0
93.wav,0,-0.5280472636222839,0
94.wav,0,-1.2448478937149048,0
95.wav,0,-1.1160420179367065,0
96.wav,0,-0.9808023571968079,0
97.wav,0,-0.7165727019309998,0
97.wav,1,-2.2958168983459473,0
98.wav,0,-3.4597299098968506,0
98.wav,1,-3.340681314468384,0
98.wav,2,-3.13720703125,0
98.wav,3,-1.334429144859314,0
99.wav,0,-0.3856189250946045,0
100.wav,0,0.6155134439468384,1
102.wav,0,-1.4053146839141846,0
102.wav,1,-2.1939034461975098,0
104.wav,0,-0.9934885501861572,0
105.wav,0,-0.9092510342597961,0
106.wav,0,-1.011857509613037,0
106.wav,1,-1.3637133836746216,0
108.wav,0,-1.828343152999878,0
109.wav,0,-0.39354532957077026,0
111.wav,0,-0.28398388624191284,0
112.wav,0,-2.4696688652038574,0
112.wav,1,1.6597002744674683,1
113.wav,0,0.5395878553390503,1
113.wav,1,0.9649844765663147,1
113.wav,2,-1.3486536741256714,0
113.wav,3,-0.14887627959251404,0
115.wav,0,-0.3169053792953491,0
119.wav,0,-1.1148605346679688,0
119.wav,1,-1.9799226522445679,0
120.wav,0,0.2877298891544342,1
121.wav,0,-0.9080904722213745,0
123.wav,0,-1.4431370496749878,0
124.wav,0,-0.7226792573928833,0
125.wav,0,-1.0089006423950195,0
129.wav,0,-0.6171245574951172,0
