name,fragment,score,label
4.wav,0,-3.072481870651245,1
5.wav,0,-3.1806304454803467,1
7.wav,0,4.0172038078308105,1
8.wav,0,0.805522620677948,1
8.wav,1,-3.592449426651001,0
9.wav,0,-3.5203466415405273,0
9.wav,1,-1.5755672454833984,1
11.wav,0,-3.5072104930877686,0
11.wav,1,3.393118143081665,1
12.wav,0,-3.6296472549438477,0
14.wav,0,-0.3313462436199188,1
18.wav,0,-1.050912618637085,1
20.wav,0,-1.6561059951782227,1
22.wav,0,-3.577988624572754,0
23.wav,0,-1.0604524612426758,1
26.wav,0,-3.2160205841064453,1
27.wav,0,1.1626847982406616,1
28.wav,0,-0.7506028413772583,1
29.wav,0,2.7816426753997803,1
30.wav,0,-3.4421067237854004,0
33.wav,0,-3.420959711074829,0
33.wav,1,-3.3171260356903076,0
36.wav,0,-3.3325891494750977,0
37.wav,0,-3.597383975982666,0
38.wav,0,-1.555734395980835,1
39.wav,0,-3.4133732318878174,0
44.wav,0,-0.9755343794822693,1
45.wav,0,3.7330687046051025,1
45.wav,1,-2.4562318325042725,1
45.wav,2,1.8413945436477661,1
45.wav,3,3.658930540084839,1
46.wav,0,1.8942450284957886,1
46.wav,1,-3.560178279876709,0
48.wav,0,2.975587844848633,1
49.wav,0,-3.3022382259368896,0
51.wav,0,-3.5345871448516846,0
52.wav,0,-2.2574827671051025,1
52.wav,1,-3.379344940185547,0
53.wav,0,4.391526699066162,1
54.wav,0,-3.6285529136657715,0
55.wav,0,-0.7803856134414673,1
56.wav,0,1.1916933059692383,1
58.wav,0,-3.2343034744262695,1
64.wav,0,0.9916040897369385,1
64.wav,1,-2.4112682342529297,1
66.wav,0,2.7704286575317383,1
67.wav,0,4.257530689239502,1
70.wav,0,0.7580082416534424,1
71.wav,0,2.7440595626831055,1
72.wav,0,-3.361924648284912,0
72.wav,1,-2.1943342685699463,1
73.wav,0,-3.3324923515319824,0
74.wav,0,-3.2019073963165283,1
75.wav,0,-3.2417168617248535,1
77.wav,0,-3.629149913787842,0
78.wav,0,-3.50553822517395,0
80.wav,0,1.404386043548584,1
80.wav,1,-3.5011990070343018,0
82.wav,0,-3.108088254928589,1
82.wav,1,-3.035200357437134,1
82.wav,2,-3.55007004737854,0
83.wav,0,-1.2969776391983032,1
84.wav,0,-3.026887893676758,1
85.wav,0,1.0473302602767944,1
85.wav,1,-3.3875513076782227,0
86.wav,0,-3.6829309463500977,0
87.wav,0,-3.5579614639282227,0
88.wav,0,-2.585416793823242,1
89.wav,0,0.9589218497276306,1
89.wav,1,4.239870071411133,1
90.wav,0,3.9876949787139893,1
93.wav,0,-3.475982666015625,0
94.wav,0,-3.4432644844055176,0
95.wav,0,-2.0416791439056396,1
96.wav,0,-3.6805973052978516,0
97.wav,0,-2.321410655975342,1
97.wav,1,-3.520739793777466,0
98.wav,0,4.124924659729004,1
98.wav,1,4.388176441192627,1
98.wav,2,4.2517242431640625,1
98.wav,3,-3.527928590774536,0
99.wav,0,3.8343162536621094,1
100.wav,0,1.3366639614105225,1
102.wav,0,1.8457905054092407,1
102.wav,1,-3.5491530895233154,0
104.wav,0,-3.306880235671997,0
105.wav,0,-3.534719467163086,0
106.wav,0,-3.0902295112609863,1
106.wav,1,-3.194106101989746,1
108.wav,0,1.4470926523208618,1
109.wav,0,-3.521181106567383,0
111.wav,0,-1.4555922746658325,1
112.wav,0,0.22575367987155914,1
112.wav,1,4.427151203155518,1
113.wav,0,3.6864075660705566,1
113.wav,1,2.7203750610351562,1
113.wav,2,-2.3674399852752686,1
113.wav,3,-3.515613079071045,0
115.wav,0,-3.498802900314331,0
119.wav,0,4.418757915496826,1
119.wav,1,-2.840775728225708,1
120.wav,0,3.445277214050293,1
121.wav,0,-3.197352647781372,1
123.wav,0,-3.011296510696411,1
124.wav,0,-1.0391730070114136,1
125.wav,0,4.460152626037598,1
129.wav,0,3.97592830657959,1
129.wav,1,-2.85514235496521,1
130.wav,0,-0.0505373440682888,1
131.wav,0,-3.33438777923584,0
133.wav,0,2.3753161430358887,1
134.wav,0,1.3225926160812378,1
134.wav,1,-3.353844404220581,0
134.wav,2,-3.515784502029419,0
137.wav,0,2.6782639026641846,1
140.wav,0,4.097952365875244,1
140.wav,1,3.9700276851654053,1
141.wav,0,4.129779815673828,1
142.wav,0,3.761744260787964,1
142.wav,1,-3.3972251415252686,0
143.wav,0,-3.194627046585083,1
143.wav,1,-3.487166166305542,0
145.wav,0,-0.499646931886673,1
147.wav,0,-3.429375410079956,0
149.wav,0,-3.5776498317718506,0
151.wav,0,-3.585444450378418,0
152.wav,0,2.6621642112731934,1
154.wav,0,-3.4017419815063477,0
156.wav,0,-3.511708974838257,0
157.wav,0,-1.0165283679962158,1
158.wav,0,-3.1979477405548096,1
158.wav,1,4.147988796234131,1
158.wav,2,-2.440603733062744,1
160.wav,0,-3.545722007751465,0
161.wav,0,4.0113139152526855,1
162.wav,0,-3.4421801567077637,0
164.wav,0,4.562895774841309,1
166.wav,0,-3.6850063800811768,0
167.wav,0,-2.2496984004974365,1
167.wav,1,-3.551323890686035,0
168.wav,0,2.580134153366089,1
168.wav,1,-2.8371872901916504,1
169.wav,0,-3.1903297901153564,1
171.wav,0,1.8856348991394043,1
173.wav,0,-3.3698694705963135,0
176.wav,0,3.693638324737549,1
177.wav,0,-3.138270616531372,1
178.wav,0,0.7796532511711121,1
178.wav,1,-3.481341600418091,0
180.wav,0,-0.9987536072731018,1
180.wav,1,4.215686798095703,1
181.wav,0,4.17704963684082,1
181.wav,1,4.23613977432251,1
183.wav,0,-2.938042640686035,1
185.wav,0,-3.625013589859009,0
185.wav,1,-3.537538766860962,0
187.wav,0,-3.3403310775756836,0
189.wav,0,-3.453446865081787,0
192.wav,0,2.5679619312286377,1
194.wav,0,-3.111706495285034,1
194.wav,1,-3.5818002223968506,0
195.wav,0,3.640075445175171,1
196.wav,0,-0.10579012334346771,1
196.wav,1,-3.262845754623413,1
197.wav,0,2.5245747566223145,1
